"","Adenocarcinoma_PMID16549822","Adenocarcinoma_PMID18927117","Adenocarcinoma_PMID18992152","Adenocarcinoma_PMID12118244","Adenocarcinoma_PMID11707567","Carcinoid_PMID11707567","SmallCell_PMID11707567","Squamous_PMID11707567","LargeCell_PMID11707590","Adenocarcinoma_PMID11707590","SmallCell_PMID11707590","Squamous_PMID11707590","LargeCell_PMID20421987","Adenocarcinoma_PMID20421987","Squamous_PMID20421987","Adenocarcinoma_PMID18297132","Adenocarcinoma_PMID16314486","Adenocarcinoma_PMID17540040","Squamous_PMID15833835","Squamous_PMID16188928","Squamous_PMID14581339"
"dexverapamil",10.5,30,16,30,30,16.5,9,30,28,29,25,30,29,30,29,30,30,30,30,29,27
"fludrocortisone",7,3,24,4,2,5,4,3,2,2,2,1,2,4,2,3,2,2,3,3,1
"sirolimus",22,14,11,17,14,11,24,14,13,13,15,15,14,14,14,14,20,14,14,19,18
"troglitazone",6,8,13,10,11,7,14,12,11,10,12,12,13,13,11,10,10,12,9,14,11
"5248896",26,23,2,25,27,25,18,23,25,22,20,21,22,20,26,22,24,24,22,18,28
"quinostatin",30,28,16,26,28,27,29,25,26,28,29,29,27,26,23,29,27,26,18,28,30
"celastrol",29,27,1,28,26,30,9,20,23,27,27,26,23,27,22,28,23,29,23,24,22
"vorinostat",27,18,12,18,16,3,27,19,18,17,19,19,15,17,16,19,29,20,19,27,14
"hesperidin",16,12,26,16,12,8,7,11,12,11,14,13,9,9,9,13,13,10,12,17,15
"diltiazem",18,19,10,19,17,20,19,16,16,15,18,16,18,19,18,20,21,18,21,20,17
"zidovudine",5,10,30,12,8,16.5,11,10,15,14,10,9,11,10,13,8,8,11,11,10,8
"hemicholinium",3,11,25,9,10,13,21,8,9,8,9,11,12,8,12,12,18,15,8,9,12
"chlormezanone",4,7,8,7,6,10,5,9,10,7,13,10,7,7,6,7,7,7,6,11,13
"8-azaguanine",23,26,3,27,25,29,15,28,20,23,26,27,28,29,28,26,22,27,29,23,25
"triflusal",10.5,22,7,22,24,16.5,9,26,29,25,21,24,21,21,21,23,25,23,26,22,24
"lobeline",10.5,13,21,8,9,12,3,7,8,9,11,8,8,12,8,11,12,9,10,12,7
"myosmine",1,5,20,5,3,1,6,4,6,4,5,4,5,5,3,4,5,5,5,4,5
"trazodone",21,24,19,21,20,16.5,17,27,24,24,23,23,26,25,24,25,26,25,25,13,23
"fenofibrate",15,6,28,6,7,9,13,6,5,6,6,6,6,6,7,6,6,6,7,5,4
"clemastine",19,2,27,3,5,2,16,5,3,5,4,5,3,1,5,5,3,4,1,8,3
"atractyloside",2,1,23,1,1,6,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2
"guanadrel",14,4,22,2,4,4,2,2,4,3,3,3,4,3,4,2,4,3,4,2,6
"DL-thiorphan",10.5,29,5,29,29,16.5,22,29,21,26,17,22,30,28,25,27,16,28,28,25,29
"sanguinarine",24,25,4,20,21,26,20,21,30,19,24,20,25,23,20,24,17,22,27,7,26
"hydrocortisone",10.5,16,16,15,15,21,23,15,14,16,7,14,16,16,15,18,19,19,17,16,10
"doxorubicin",20,15,16,13,19,24,25,17,17,20,22,18,17,15,17,16,11,13,16,21,20
"(-)-isoprenaline",17,9,29,11,13,22,12,13,7,12,8,7,10,11,10,9,9,8,13,6,9
"daunorubicin",28,17,6,14,23,28,26,24,19,18,16,17,20,18,19,17,14,17,15,15,16
"0297417-0002B",25,21,9,23,22,23,28,22,27,21,28,25,24,24,30,21,28,21,24,26,19
"MS-275",10.5,20,16,24,18,16.5,30,18,22,30,30,28,19,22,27,15,15,16,20,30,21
