"drug","true_median"
"dexverapamil*1",-0.258183472138253
"quinostatin*2",-0.241025467475599
"celastrol*3",-0.231885738591131
"8-azaguanine*4",-0.230695538660651
"5248896*7",-0.208809451979162
"DL-thiorphan*5",-0.243467851965581
"0297417-0002B*6",-0.210705383935297
"triflusal*10",-0.214129911450625
"trazodone*8",-0.209287286355897
"MS-275",-0.197935078754154
"sanguinarine*9",-0.213274520726071
"resveratrol",-0.171183336551407
"luteolin",-0.184859903070258
"daunorubicin",-0.153879075870455
"vorinostat",-0.17297621504256
"tracazolate",-0.139576323589767
"bromocriptine",-0.153139177062977
"rolitetracycline",-0.164370622321495
"doxorubicin",-0.13754225411243
"dacarbazine",-0.12077586296501
"Prestwick-674",-0.139500140288403
"STOCK1N-35215",-0.118883452698747
"solanine",-0.117893887497828
"Prestwick-1085",-0.101172538867115
"gallamine triethiodide",-0.106949333668824
"sirolimus",-0.0993266644190809
"diclofenac",-0.0648838283656112
"2,6-dimethylpiperidine",-0.0703971180993127
"androsterone",-0.0805323027319721
"aminocaproic acid",-0.0854637187754738
"tinidazole",-0.0615259810824117
"monorden",-0.0598159644058116
"tribenoside",-0.0588593362893374
"syrosingopine",-0.0722852076363314
"atropine methonitrate",-0.0658234206219
"0225151-0000",-0.0508267722607624
"sulfanilamide",-0.0504676925989001
"sulfamethizole",-0.0344618149419924
"pramocaine",-0.0171197250490702
"riluzole",-0.013804115911213
"paroxetine",-0.0127292804370368
"cefadroxil",0.0138305643764182
"amiprilose",0.011361173260158
"betulin",0.0547943873799229
"PNU-0293363",0.00699232845348065
"cefotiam",0.0812362043608433
"1,5-isoquinolinediol",0
"5151277",0.172465116377255
"oxybenzone",0.11580913233389
"viomycin",0.208971098781439
